,Species,Short
1,Escherichia coli,E. coli
2,Enterobacter cloacae,E. cloacae
3,Serratia marcescens,S. marcescens
4,Klebsiella oxytoca,K. oxytoca
5,Klebsiella aerogenes,K. aerogenes
6,Proteus mirabilis,P. mirabilis
7,Citrobacter freundii,C. freundii
8,Citrobacter koseri,C. koseri
9,Morganella morganii,M. morganii
10,Proteus vulgaris,P. vulgaris
11,Providencia stuartii,P. stuartii
12,Enterobacter kobei,E. kobei
13,Providencia rettgeri,P. rettgeri
14,Citrobacter braakii,C. braakii
15,Raoultella ornithinolytica,R. ornithinolytica
16,Proteus penneri,P. penneri
